"VA Station Number",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
vha_673QH,"12210 Bruce B. Downs Boulevard",Tampa,FL,33612-9211,28.059317,-82.426718,1,rooftop,12210,"Bruce B Downs Blvd",,,Tampa,FL,"Hillsborough County",33612,US,"Hillsborough County",2019,12,12057,University,1273163,010814,2000,2,120570108142000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QI,"6938 Medical View Lane",Zephyrhills,FL,33542-6848,28.258564,-82.182225,1,rooftop,6938,"Medical View Ln",,,Zephyrhills,FL,"Pasco County",33542,US,Pasco,2019,12,12101,Zephyrhills,1279225,032804,2010,2,121010328042010,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QJ,"13515 Lake Terrace Lane",Tampa,FL,33637-1003,28.070299,-82.357394,1,rooftop,13515,"Lake Terrace Ln",,,Tampa,FL,"Hillsborough County",33637,US,"Hillsborough County",2019,12,12057,Tampa,1271000,011015,2014,2,120570110152014,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QK,"13000 Bruce B. Downs Boulevard",Tampa,FL,33612-4745,28.064564,-82.427682,1,rooftop,13000,"Bruce B Downs Blvd",,,Tampa,FL,"Hillsborough County",33612,US,"Hillsborough County",2019,12,12057,University,1273163,010814,2000,2,120570108142000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QL,"13000 Bruce B. Downs Boulevard",Tampa,FL,33612-4745,28.064564,-82.427682,1,rooftop,13000,"Bruce B Downs Blvd",,,Tampa,FL,"Hillsborough County",33612,US,"Hillsborough County",2019,12,12057,University,1273163,010814,2000,2,120570108142000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_674,"1901 Veterans Memorial Drive",Temple,TX,76504-7451,31.079833,-97.348596,1,range_interpolation,1901,"Veterans Memorial Dr",,,Temple,TX,"Bell County",76504,US,"TIGER/Line® dataset from the US Census Bureau",2019,48,48027,Temple,4872176,021000,3026,3,480270210003026,"Killeen-Temple, TX",28660,metropolitan,,,,
vha_674A4,"4800 Memorial Drive",Waco,TX,76711-1329,31.510643,-97.165052,1,rooftop,4800,"Memorial Dr",,,Waco,TX,"McLennan County",76711,US,"City of Waco",2019,48,48309,Waco,4876000,004300,3046,3,483090043003046,"Waco, TX",47380,metropolitan,,,,
vha_674BY,"7901 Metropolis Drive",Austin,TX,78744-3111,30.207238,-97.689748,1,rooftop,7901,"Metropolis Dr",,,Austin,TX,"Travis County",78744,US,Capcog,2019,48,48453,Austin,4805000,002431,2009,2,484530024312009,"Austin-Round Rock-Georgetown, TX",12420,metropolitan,,,,
vha_674GA,"2000 South Loop 256",Palestine,TX,75801-5977,31.733892,-95.608157,1,rooftop,2000,"S Loop 256",,,Palestine,TX,"Anderson County",75801,US,Anderson,2019,48,48001,Palestine,4854708,950800,1000,1,480019508001000,"Palestine, TX",37300,micropolitan,,,,
vha_674GB,"2600 Memorial Park Drive",Brownwood,TX,76801-5950,31.67926,-98.991104,1,rooftop,2600,"Memorial Park Dr",,,Brownwood,TX,"Brown County",76801,US,"Statewide Partial",2019,48,48049,Brownwood,4810780,951100,2030,2,480499511002030,"Brownwood, TX",15220,micropolitan,,,,
