VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_596,596,2250 Leestown Road,Lexington,KY,21067.0,197.0,22.0,163.0,12.0
vha_596A4,596,1101 Veterans Drive,Lexington,KY,21067.0,197.0,22.0,163.0,12.0
vha_596GA,596,300 Medpark Drive,Somerset,KY,21199.0,,,,
vha_596GB,596,333 Beacon Hill Road,Morehead,KY,21205.0,,,,
vha_596GC,596,210 Black Gold Boulevard,Hazard,KY,21193.0,,,,
vha_596GD,596,209 Pauline Drive,Berea,KY,21151.0,,,,
vha_598,598,4300 West Seventh Street,Little Rock,AR,5119.0,504.0,35.0,455.0,14.0
vha_598A0,598,2200 Fort Roots Drive,North Little Rock,AR,5119.0,,,,
vha_598GA,598,759 Highway 62 E,Mountain Home,AR,5005.0,,,,
vha_598GB,598,1702 North West Avenue,El Dorado,AR,5139.0,,,,
vha_598GC,598,177 Sawtooth Oak Street,Hot Springs,AR,5051.0,,,,
vha_598GD,598,"300 Morrow Street, South",Mena,AR,5113.0,,,,
vha_598GE,598,4747 Dusty Lake Drive,Pine Bluff,AR,5069.0,,,,
vha_598GF,598,1120 South Main Street,Searcy,AR,5145.0,,,,
vha_598GG,598,1520 East Dave Ward Drive,Conway,AR,5045.0,,,,
vha_598GH,598,3106 West 2nd Court,Russellville,AR,5115.0,,,,
vha_598QA,598,1000 Main Street,Little Rock,AR,5119.0,504.0,35.0,455.0,14.0
vha_598QB,598,4300 West Seventh Street,Little Rock,AR,5119.0,504.0,35.0,455.0,14.0
vha_600,600,5901 East Seventh Street,Long Beach,CA,6037.0,655.0,29.0,608.0,18.0
vha_600GA,600,2569 West Woodland Drive,Anaheim,CA,6059.0,,,,
vha_600GB,600,1506 Brookhollow Drive,Santa Ana,CA,6059.0,,,,
vha_600GC,600,2001 River Avenue,Long Beach,CA,6037.0,655.0,29.0,608.0,18.0
vha_600GD,600,10330 Pioneer Boulevard,Santa Fe Springs,CA,6037.0,,,,
vha_600GE,600,23719 Moulton Parkway,Laguna Hills,CA,6059.0,,,,
vha_600GF,600,1149 West 190th Street,Gardena,CA,6037.0,,,,
vha_600QA,600,888 West Santa Ana Boulevard,Santa Ana,CA,6059.0,,,,
vha_603,603,800 Zorn Avenue,Louisville,KY,21111.0,337.0,20.0,302.0,15.0
vha_603GA,603,289 Ireland Avenue,Fort Knox,KY,21093.0,,,,
vha_603GB,603,4347 Security Parkway,New Albany,IN,18043.0,,,,
vha_603GC,603,3934 North Dixie Highway,Louisville,KY,21111.0,337.0,20.0,302.0,15.0
vha_603GD,603,9208 Taylorsville Road,Louisville,KY,21111.0,337.0,20.0,302.0,15.0
vha_603GE,603,3430 Newburg Road,Louisville,KY,21111.0,337.0,20.0,302.0,15.0
vha_603GF,603,619 West Main Street,Clarkson,KY,21085.0,,,,
vha_603GG,603,1467 North Scott Valley Drive,Scottsburg,IN,18143.0,,,,
vha_603GH,603,1911 Highway 227,Carrollton,KY,21041.0,,,,
vha_605,605,11201 Benton Street,Loma Linda,CA,6071.0,712.0,31.0,665.0,16.0
vha_605BZ,605,26001 Redlands Boulevard,Redlands,CA,6071.0,,,,
vha_605GA,605,12138 Industrial Boulevard,Victorville,CA,6071.0,,,,
vha_605GB,605,28078 Baxter Road,Murrieta,CA,6065.0,,,,
vha_605GC,605,41-990 Cook Street,Palm Desert,CA,6065.0,,,,
